rha_replacement_pct,water_binder_ratio,mean_particle_size,fineness_passing_45um_pct,cement_kg_m3,fine_aggregate,coarse_aggregate,silica_content,calcium_dioxide,rcpt_28
10.0,0.35,,,439.0,614.0,1076.0,9.0,0.045,486.0
10.0,0.5,,,323.0,726.0,1055.0,9.0,0.045,774.0
10.0,0.65,,,255.0,791.0,1043.0,9.0,0.045,840.0
10.0,0.42,220.0,5.0,457.2,852.0,786.6,8.414,0.097,
10.0,0.48,220.0,5.0,399.6,902.0,800.0,8.414,0.097,
10.0,0.53,,,330.21,857.63,982.76,8.072,0.138,
10.0,0.3,,100.0,480.0,945.68,674.02,,,
10.0,0.35,,100.0,411.42,983.15,700.73,,,
10.0,0.4,,100.0,360.0,1011.26,720.76,,,
10.0,0.5,,,376.0,906.0,1155.0,,,
10.0,0.45,,,354.6,734.46,1146.35,8.75,,
10.0,0.55,28.54,65.0,327.6,639.0,1148.0,8.329,0.068,
10.0,0.45,,,358.8193,698.6754,745.1945,8.698,0.14,1667.33
10.0,0.45,6.0,93.0,378.0,542.0,1108.0,8.62,0.053,1822.0
10.0,0.4,7.15,98.2,342.0,740.0,1140.0,9.46,0.04,1152.0
10.0,0.4,7.63,97.7,342.0,740.0,1140.0,9.37,0.06,1032.0
10.0,0.4,7.41,97.9,342.0,740.0,1140.0,9.16,0.06,1197.0
10.0,0.4,6.8,98.4,342.0,740.0,1140.0,8.91,0.06,912.0
10.0,0.35,,,411.3,695.0,1158.0,,,721.19
10.0,0.3,,,465.6,550.0,1302.0,,,560.1
10.0,0.25,,,496.8,539.0,1325.0,,,424.57
10.0,0.55,4.85,99.0,312.0,548.0,1260.0,8.732,0.048,1659.0
10.0,0.53,4.85,99.0,345.0,575.0,1150.0,8.732,0.048,1522.0
10.0,0.55,90.0,18.0,316.0,794.0,835.0,8.891,0.044,
10.0,0.59,,,315.0,660.0,1185.0,9.018,0.264,
10.0,0.32,8.0,100.0,481.0,690.0,1050.0,8.72,0.055,
10.0,0.4,8.0,100.0,416.0,723.0,1018.0,8.72,0.055,
10.0,0.5,8.0,100.0,367.0,758.0,983.0,8.72,0.055,
10.0,0.32,8.0,100.0,481.0,690.0,1050.0,8.8,0.08,
10.0,0.4,8.0,100.0,416.0,723.0,1018.0,8.8,0.08,
10.0,0.5,8.0,100.0,367.0,758.0,983.0,8.8,0.08,
10.0,0.35,6.0,100.0,380.1,862.4,866.7,9.36,,
