rha_replacement_pct,water_binder_ratio,mean_particle_size,fineness_passing_45um_pct,cement_kg_m3,fine_aggregate,coarse_aggregate,silica_content,calcium_dioxide,compressive_strength
5.0,0.35,,,275.0,234.0,708.0,,,56.4
5.0,0.4,,,475.0,780.0,820.0,,,46.4
5.0,0.4,,,427.5,796.5,846.0,,,45.6
5.0,0.4,,,380.0,828.0,868.0,,,42.4
5.0,0.4,,,332.5,847.0,900.0,,,44.0
5.0,0.4,,,370.5,713.0,1079.0,,,48.53
5.0,0.45,,,289.5,620.0,1200.0,4.357,0.056,31.496
5.0,0.4,7.0,99.0,369.0,677.0,1105.0,4.36,0.0275,45.36
5.0,0.53,,,380.0,600.0,1200.0,4.6475,0.0265,29.192
5.0,0.38,,,475.0,745.0,945.0,4.4935,0.0245,49.6
5.0,0.36,,,361.0,868.0,995.0,4.4935,0.0245,48.48
5.0,0.36,,,380.0,863.0,974.0,4.4935,0.0245,48.8
5.0,0.43,7.0,96.0,399.0,582.0,1108.0,4.36,0.0275,46.12
5.0,0.35,7.0,96.0,447.0,585.1,1113.0,4.36,0.0275,59.65
5.0,0.43,7.0,96.0,399.0,582.0,1108.0,4.36,0.0275,49.04
5.0,0.35,7.0,96.0,447.0,585.1,1113.0,4.36,0.0275,71.13
5.0,,,,,,,4.55,0.099,20.192
5.0,0.5,,,370.5,569.0,1164.0,4.52,,27.344
5.0,0.4,95.0,42.0,428.0,492.0,1148.0,4.393,0.065,38.7
5.0,0.4,5.0,97.0,428.0,492.0,1148.0,4.393,0.065,39.9
5.0,0.53,3.8,99.0,19.0,575.0,1150.0,4.366,0.024,40.0
5.0,0.5,,,285.0,450.0,900.0,,,14.88
5.0,0.35,,,570.0,477.0,1113.0,3.762,0.121,67.73
5.0,0.55,,,330.94,572.74,1189.5,3.992,0.0275,24.7
5.0,0.53,3.8,,364.0,575.0,1150.0,4.366,0.024,40.0
5.0,0.65,,,325.71,685.71,1371.42,4.7705,,27.68
5.0,0.45,42.0,48.0,253.65,486.0,1537.0,4.7705,0.0,21.52
5.0,0.5,42.0,48.0,253.65,486.0,1537.0,4.7705,0.0,21.576
5.0,0.55,42.0,48.0,253.65,486.0,1537.0,4.7705,0.0,21.248
5.0,0.5,,,380.0,800.0,1600.0,,,21.104
5.0,0.4,,100.0,370.5,713.0,1079.0,,,38.824
5.0,0.3,42.0,48.0,503.5,458.0,1302.0,4.7705,,44.416
5.0,0.35,42.0,48.0,503.5,458.0,1302.0,4.7705,,47.912
5.0,0.35,42.0,48.0,403.75,446.0,1419.0,4.7705,,37.2
5.0,0.4,42.0,48.0,403.75,446.0,1419.0,4.7705,,42.248
5.0,0.45,42.0,48.0,403.75,446.0,1419.0,4.7705,,36.088
5.0,0.5,42.0,48.0,403.75,446.0,1419.0,4.7705,,31.04
5.0,0.55,42.0,48.0,403.75,446.0,1419.0,4.7705,,30.176
5.0,0.5,23.397,96.14,437.0,785.0,800.0,4.605,0.03595,40.544
5.0,0.5,20.948,95.96,437.0,785.0,800.0,4.4655,0.04935,42.296
5.0,0.5,15.804,95.77,437.0,785.0,800.0,4.215,0.03645,45.576
5.0,0.42,220.0,5.0,482.6,852.0,786.6,4.207,0.0485,19.66
5.0,0.48,220.0,5.0,421.8,902.0,800.0,4.207,0.0485,44.76
5.0,0.53,,,353.15,868.93,995.71,4.036,0.069,28.744
5.0,0.3,,100.0,506.67,945.68,674.02,,,35.52
5.0,0.35,,100.0,434.28,983.15,700.73,,,33.04
5.0,0.4,,100.0,380.0,1011.26,720.76,,,29.84
5.0,0.5,,,397.0,906.0,1155.0,,,16.28
5.0,0.45,,,374.3,734.46,1146.35,4.375,,21.336
5.0,0.45,,,377.7825,698.6754,745.1945,4.349,0.07,30.62892
5.0,0.45,6.0,93.0,399.0,852.0,1108.0,4.31,0.0265,26.328
5.0,0.35,,,434.15,695.0,1158.0,,,69.54
5.0,0.3,,,491.3,550.0,1302.0,,,88.56
5.0,0.25,,,524.4,539.0,1325.0,,,106.48
5.0,0.55,4.85,99.0,330.0,548.0,1260.0,4.366,0.024,26.664
5.0,0.53,4.85,99.0,364.0,575.0,1150.0,4.366,0.024,32.0
5.0,0.35,6.0,100.0,401.2,867.1,871.4,4.68,,72.18
5.0,0.53,12.0,100.0,376.0,844.0,951.0,4.545,0.04,33.6
5.0,0.5,25.0,,370.5,550.0,1370.6,4.409,0.03,29.2
5.0,0.5,,,380.0,588.0,1240.0,4.316,0.1255,18.72
5.0,0.4,,,380.0,1164.0,916.0,4.375,,21.24
5.0,0.39,25.0,,353.875,492.58,1454.1,4.347,0.06,30.76
5.0,0.5,,100.0,380.0,400.0,800.0,4.39,0.035,42.72
5.0,0.4,,,551.7,559.0,830.0,,,39.98
5.0,0.4,,,425.0,446.0,1489.0,,,42.25
5.0,0.45,,,425.0,446.0,1489.0,,,36.09
5.0,0.5,,,425.0,446.0,1489.0,,,31.04
5.0,0.55,,,425.0,446.0,1489.0,,,30.18
5.0,0.45,,,374.3,734.46,1146.35,,,21.34
5.0,0.5,6.57,,361.0,755.0,685.0,4.125,0.031,27.568
5.0,0.342,,,475.0,925.0,830.0,3.72,0.195,60.45
5.0,0.3,5.69,100.0,532.0,725.0,1000.0,4.145,0.1145,74.896
5.0,0.3,,,712.5,590.0,1000.0,4.35,0.125,61.752
5.0,0.45,,,451.25,607.25,1127.75,,,46.184
5.0,0.56,,,418.0,580.0,1115.0,3.822,0.1765,35.57
5.0,0.39,,100.0,353.875,492.58,1454.1,4.347,0.125,30.76
5.0,0.5,,,342.0,1070.0,775.0,4.4035,0.052,57.7
5.0,0.42,12.34,96.6,465.5,651.7,1112.3,4.6495,0.0515,60.4
5.0,0.4,25.0,,363.37,482.46,1394.06,,,31.92
7.0,0.45,,92.0,390.6,815.0,995.0,6.2727,0.0637,30.56
7.0,0.45,,,390.6,815.0,995.0,,,34.24
7.0,0.5,,,325.5,960.3,795.7,6.2727,0.0637,35.744
7.5,0.4,,,462.5,780.0,820.0,,,46.4
7.5,0.4,,,416.25,796.5,846.0,,,46.4
7.5,0.4,,,370.0,828.0,868.0,,,42.4
7.5,0.4,,,323.75,847.0,900.0,,,44.0
7.5,0.5,,,277.5,450.0,900.0,,,9.36
7.5,0.65,,,317.14,685.71,1371.42,7.15575,,26.48
7.5,0.45,,,364.45,734.46,1146.35,6.5625,,20.264
7.5,0.4,7.15,98.2,352.0,745.0,1140.0,7.095,0.03,67.15
7.5,0.4,7.63,97.7,352.0,745.0,1140.0,7.0275,0.045,68.433
7.5,0.4,7.41,97.9,352.0,745.0,1140.0,6.87,0.045,63.61
7.5,0.4,6.8,98.4,352.0,745.0,1140.0,6.6825,0.045,65.54
7.5,0.39,25.0,,344.563,492.58,1454.1,6.5205,0.09,34.76
7.5,0.5,,100.0,370.0,400.0,800.0,6.585,0.0525,45.44
7.5,0.4,,,538.6,559.0,830.0,,,40.65
7.5,0.45,,,364.45,734.46,1146.35,,,20.26
7.5,0.3,,,693.75,590.0,1000.0,6.525,0.1875,60.2
7.5,0.39,,100.0,344.563,492.58,1454.1,6.5205,0.1875,34.76
7.5,0.4,25.0,,353.81,482.46,1394.06,0.0,,33.96
8.0,0.4,7.0,99.0,360.0,682.0,1111.0,6.976,0.044,46.64
9.0,0.33,,,356.0,786.0,1062.0,7.875,,77.0
10.0,0.35,15.21,96.5,540.0,477.0,1113.0,8.943,0.11,55.14
10.0,0.36,,,260.0,249.0,759.0,,,44.72
10.0,0.35,,,260.0,234.0,708.0,,,53.43
10.0,0.4,,,450.0,780.0,820.0,,,41.6
10.0,0.4,,,405.0,796.5,846.0,,,48.0
10.0,0.4,,,360.0,828.0,868.0,,,44.8
10.0,0.4,,,315.0,847.0,900.0,,,44.0
10.0,0.31,,,514.0,591.0,1050.0,,,
10.0,0.3,,,514.0,592.0,1052.0,,,
10.0,0.5,,,270.0,600.0,1200.0,,,24.6
10.0,0.56,0.0,,375.0,625.0,1202.0,,,33.0
10.0,0.62,5.0,,337.5,625.0,1202.0,,,34.0
10.0,0.62,5.0,,337.5,625.0,1202.0,,,35.0
10.0,0.62,5.0,,337.5,625.0,1202.0,,,36.0
10.0,0.62,5.0,,337.5,625.0,1202.0,,,35.0
10.0,0.62,25.0,,337.5,625.0,1202.0,,,30.0
10.0,0.62,25.0,,337.5,625.0,1202.0,,,32.0
10.0,0.62,25.0,,337.5,625.0,1202.0,,,34.0
10.0,0.62,25.0,,337.5,625.0,1202.0,,,27.0
10.0,0.4,,,351.0,713.0,1079.0,,,46.8
10.0,0.23,12.0,,783.0,344.0,933.0,9.1,,66.0
10.0,0.35,12.0,,514.0,608.0,933.0,9.1,,61.0
10.0,0.47,12.0,,383.0,737.0,933.0,9.1,,47.0
10.0,0.45,,,369.0,620.0,1200.0,8.714,0.112,30.984
10.0,0.45,,92.0,378.0,815.0,995.0,8.961,0.091,33.76
10.0,0.4,7.0,99.0,350.0,676.0,1101.0,8.72,0.055,41.52
10.0,0.31,7.0,99.0,398.0,666.0,1087.0,8.72,0.055,60.88
10.0,0.4,7.0,99.0,350.0,676.0,1101.0,8.72,0.055,41.83
10.0,0.5,7.0,99.0,304.0,675.0,1102.0,8.72,0.055,33.51
10.0,0.4,7.0,99.0,345.0,667.0,1086.0,8.72,0.055,38.6
10.0,0.4,7.0,99.0,350.0,677.0,1102.0,8.72,0.055,45.5
10.0,0.53,,,360.0,600.0,1200.0,9.295,0.053,29.944
10.0,0.38,,,450.0,745.0,945.0,8.987,0.049,51.36
10.0,0.36,,,342.0,868.0,995.0,8.987,0.049,53.36
10.0,0.36,,,380.0,852.0,960.0,8.987,0.049,54.88
10.0,0.6,9.0,97.0,315.0,870.0,881.0,9.325,,24.61
10.0,0.5,,,323.0,726.0,1055.0,9.0,0.045,
10.0,0.65,,,255.0,791.0,1043.0,9.0,0.045,
10.0,0.43,7.0,96.0,378.0,542.0,1108.0,8.72,0.055,47.62
10.0,0.35,7.0,96.0,420.0,535.61,1113.0,8.72,0.055,56.1
10.0,0.43,7.0,96.0,378.0,542.0,1108.0,8.72,0.055,49.76
10.0,0.35,7.0,96.0,420.0,535.61,1113.0,8.72,0.055,72.31
10.0,0.4,,85.0,415.12,582.0,1204.0,8.2,0.26,35.0
10.0,0.5,,85.0,332.1,608.13,1253.45,8.2,0.26,30.9
10.0,0.6,,85.0,276.7,623.79,1287.9,8.2,0.26,28.8
10.0,0.5,,,351.0,569.0,1164.0,9.04,,28.696
10.0,0.4,95.0,42.0,405.0,492.0,1148.0,8.786,0.13,40.6
10.0,0.4,5.0,97.0,405.0,492.0,1148.0,8.786,0.13,43.8
10.0,0.3,,100.0,495.0,490.0,1200.0,8.947,0.269,83.5
10.0,0.33,,100.0,450.0,510.0,1240.0,8.947,0.269,72.0
10.0,0.36,,100.0,405.0,530.0,1280.0,8.947,0.269,73.8
10.0,0.44,,100.0,315.0,560.0,1345.0,8.947,0.269,45.5
10.0,0.43,28.0,72.0,35.0,895.0,571.0,,,
10.0,0.53,3.8,99.0,38.0,575.0,1150.0,8.732,0.048,41.3
10.0,0.5,,,270.0,450.0,900.0,,,4.96
10.0,0.34,25.83,,60.5,690.0,915.0,9.67,0.049,54.864
10.0,0.3,25.83,,68.0,655.0,865.0,9.67,0.049,58.944
10.0,0.35,,,540.0,477.0,1113.0,7.524,0.242,68.92
10.0,0.55,,,313.52,572.74,1189.5,7.984,0.055,29.44
10.0,0.53,3.8,,345.0,575.0,1150.0,8.732,0.048,41.3
10.0,0.65,,,308.57,685.71,1371.42,9.541,,20.88
10.0,0.45,42.0,48.0,240.3,486.0,1537.0,9.541,0.0,24.856
10.0,0.5,42.0,48.0,240.3,486.0,1537.0,9.541,0.0,26.424
10.0,0.55,42.0,48.0,240.3,486.0,1537.0,9.541,0.0,22.688
10.0,0.5,,,360.0,800.0,1600.0,,,21.552
10.0,0.4,,100.0,351.0,713.0,1079.0,,,37.44
10.0,0.3,42.0,48.0,477.0,458.0,1302.0,9.541,,42.36
10.0,0.35,42.0,48.0,477.0,458.0,1302.0,9.541,,41.52
10.0,0.4,42.0,48.0,382.5,446.0,1419.0,9.541,,39.896
10.0,0.45,42.0,48.0,382.5,446.0,1419.0,9.541,,35.864
10.0,0.5,42.0,48.0,382.5,446.0,1419.0,9.541,,35.92
10.0,0.55,42.0,48.0,382.5,446.0,1419.0,9.541,,28.424
10.0,0.5,23.397,96.14,414.0,785.0,800.0,9.21,0.0719,41.416
10.0,0.5,20.948,95.96,414.0,785.0,800.0,8.931,0.0987,44.584
10.0,0.5,15.804,95.77,414.0,785.0,800.0,8.43,0.0729,48.216
10.0,0.35,,,439.0,614.0,1076.0,9.0,0.045,
10.0,0.5,,,323.0,726.0,1055.0,9.0,0.045,
10.0,0.65,,,255.0,791.0,1043.0,9.0,0.045,
10.0,0.42,220.0,5.0,457.2,852.0,786.6,8.414,0.097,22.72
10.0,0.48,220.0,5.0,399.6,902.0,800.0,8.414,0.097,47.1
10.0,0.53,,,330.21,857.63,982.76,8.072,0.138,28.832
10.0,0.3,,100.0,480.0,945.68,674.02,,,34.88
10.0,0.35,,100.0,411.42,983.15,700.73,,,32.0
10.0,0.4,,100.0,360.0,1011.26,720.76,,,29.12
10.0,0.5,,,376.0,906.0,1155.0,,,25.528
10.0,0.45,,,354.6,734.46,1146.35,8.75,,18.984
10.0,0.55,28.54,65.0,327.6,639.0,1148.0,8.329,0.068,41.46
10.0,0.45,,,358.8193,698.6754,745.1945,8.698,0.14,26.89806
10.0,0.45,6.0,93.0,378.0,542.0,1108.0,8.62,0.053,30.408
10.0,0.4,7.15,98.2,342.0,740.0,1140.0,9.46,0.04,69.39
10.0,0.4,7.63,97.7,342.0,740.0,1140.0,9.37,0.06,59.11
10.0,0.4,7.41,97.9,342.0,740.0,1140.0,9.16,0.06,59.44
10.0,0.4,6.8,98.4,342.0,740.0,1140.0,8.91,0.06,67.79
10.0,0.35,,,411.3,695.0,1158.0,,,60.33
10.0,0.3,,,465.6,550.0,1302.0,,,81.28
10.0,0.25,,,496.8,539.0,1325.0,,,92.91
10.0,0.55,4.85,99.0,312.0,548.0,1260.0,8.732,0.048,28.688
10.0,0.53,4.85,99.0,345.0,575.0,1150.0,8.732,0.048,33.04
10.0,0.55,90.0,18.0,316.0,794.0,835.0,8.891,0.044,
10.0,0.59,,,315.0,660.0,1185.0,9.018,0.264,20.928
10.0,0.32,8.0,100.0,481.0,690.0,1050.0,8.72,0.055,60.4
10.0,0.4,8.0,100.0,416.0,723.0,1018.0,8.72,0.055,50.4
10.0,0.5,8.0,100.0,367.0,758.0,983.0,8.72,0.055,31.5
10.0,0.32,8.0,100.0,481.0,690.0,1050.0,8.8,0.08,51.4
10.0,0.4,8.0,100.0,416.0,723.0,1018.0,8.8,0.08,40.8
10.0,0.5,8.0,100.0,367.0,758.0,983.0,8.8,0.08,34.5
10.0,0.35,6.0,100.0,380.1,862.4,866.7,9.36,,74.83
10.0,0.53,12.0,100.0,356.0,844.0,951.0,9.09,0.08,32.4
10.0,0.5,25.0,,351.0,550.0,1370.6,8.818,0.06,30.24
10.0,0.5,,,360.0,588.0,1240.0,8.632,0.251,19.44
10.0,0.4,,,360.0,1164.0,916.0,8.75,,21.832
10.0,0.3,15.0,99.0,403.2,699.0,1137.0,8.72,0.055,70.8
10.0,0.39,25.0,,335.25,492.58,1454.1,8.694,0.12,32.72
10.0,0.23,12.0,,783.0,344.0,933.0,9.1,,66.0
10.0,0.35,12.0,,514.0,608.0,933.0,9.1,,61.0
