rha_replacement_pct,water_binder_ratio,mean_particle_size,fineness_passing_45um_pct,cement_kg_m3,fine_aggregate,coarse_aggregate,silica_content,calcium_dioxide,split_tensile_strength
30,0.72,75,50,147,660,1178,24.639,0.048,
30,0.64,75,50,158,635,1180,24.639,0.048,
30,0.57,75,50,185,580,1170,24.639,0.048,
40,0.85,75,50,96,710,1160,32.852,0.064,
40,0.75,75,50,107,660,1178,32.852,0.064,
40,0.65,75,50,108,635,1180,32.852,0.064,
40,0.61,75,50,152,580,1170,32.852,0.064,
0,0.55,90,18,351,804,845,0,0,
10,0.55,90,18,316,794,835,8.891,0.044,
15,0.55,90,18,298,790,830,13.3365,0.066,
20,0.55,90,18,281,785,825,17.782,0.088,
0,0.4,95,42,450,492,1148,0,0,
5,0.4,95,42,428,492,1148,4.393,0.065,
10,0.4,95,42,405,492,1148,8.786,0.13,
15,0.4,95,42,383,492,1148,13.179,0.195,
20,0.4,95,42,360,492,1148,17.572,0.26,
0,0.42,220,5,508,852,786.6,0,0,0.92
0,0.48,220,5,444,902,800,0,0,0.86
5,0.42,220,5,482.6,852,786.6,4.207,0.0485,1
5,0.48,220,5,421.8,902,800,4.207,0.0485,1.34
10,0.42,220,5,457.2,852,786.6,8.414,0.097,1.15
10,0.48,220,5,399.6,902,800,8.414,0.097,1.52
15,0.42,220,5,431.8,852,786.6,12.621,0.1455,0.97
15,0.48,220,5,377.4,902,800,12.621,0.1455,1.19
20,0.42,220,5,406.4,852,786.6,16.828,0.194,0.91
20,0.48,220,5,355.2,902,800,16.828,0.194,1.08
0,0.36,,,300,249,759,,,4.19
0,0.35,,,300,234,708,,,4.19
0,0.4,,,500,780,820,,,
0,0.4,,,450,796.5,846,,,
0,0.4,,,400,828,868,,,
0,0.4,,,350,847,900,,,
0,0.24,,,571,612,1088,,,4.17
0,0.45,,,300,600,1200,,,3.96
0,0.4,,,390,713,1079,,,3.21
0,0.45,,,410,620,1200,0,0,2.87
0,0.45,,92,420,815,995,0,0,3.87
0,0.53,,,400,600,1200,0,0,
0,0.38,,,500,745,945,0,0,
0,0.5,,,380,815,995,0,0,
0,0.36,,,380,815,995,0,0,3.8
0,0.5,,,359,739,1055,0,0,
0,0.65,,,284,802,1043,0,0,
0,0.4,,85,461.25,582,1204,0,0,4.8
0,0.5,,85,369,608.13,1253.45,0,0,4.65
0,0.6,,85,307.5,623.79,1287.9,0,0,4.41
0,,,,,,,0,0,
0,0.5,,,390,569,1164,0,,
0,0.3,,100,550,490,1200,0,0,
0,0.33,,100,500,510,1240,0,0,
0,0.36,,100,450,530,1280,0,0,
0,0.44,,100,350,560,1345,0,0,
0,0.5,,,300,450,900,,,
0,0.35,,,600,477,1113,0,0,6.5
0,0.55,,,348.36,572.74,1189.5,0,0,2.3
0,0.65,,,342.86,685.71,1371.42,0,,3.22
0,0.5,,,400,800,1600,,,3.46
0,0.4,,100,390,713,1079,,,3.21
0,0.35,,,488,632,1076,0,0,
0,0.5,,,359,739,1055,0,0,
0,0.65,,,284,802,1043,0,0,
0,0.53,,,376.7,880.53,1009,0,0,4.05
0,0.3,,100,533.33,945.68,674.02,,,3.96
0,0.35,,100,457.14,983.15,700.73,,,4.24
0,0.4,,100,400,1011.26,720.76,,,4.53
0,0.5,,,418,906,1155,,,
0,0.45,,,394,734.46,1146.35,0,,3.39
0,0.45,,,396.7457,698.6754,745.1945,0,0,
0,0.4,,,380,760,1140,,,
0,0.35,,,457,695,1158,,,
0,0.3,,,517,550,1302,,,
0,0.25,,,552,539,1325,,,
0,0.59,,,350,660,1185,0,0,2.5
0,0.5,,,400,588,1240,0,0,
0,0.4,,,400,1164,916,0,,2.57
0,0.5,,100,400,400,800,0,0,
0,0.4,,,580,559,830,,,3.2
0,0.4,,,425,446,1489,,,3.553
0,0.45,,,425,446,1489,,,3.517
0,0.5,,,425,446,1489,,,2.618
0,0.55,,,425,446,1489,,,3.182
0,0.45,,,420,815,995,,,3.87
0,0.45,,,394,734.46,1146.35,,,3.5
0,0.342,,,500,925,830,0,0,5.48
0,0.43,,100,480,900,670,0,0,2.73
0,0.5,,,350,960.3,795.7,0,0,
0,0.413,,,450,635,1151,0,0,3.15
0,0.3,,,750,590,1000,0,0,15.58
0,0.45,,,475,607.25,1127.75,,,
0,0.56,,,440,580,1115,0,0,2.84
0,0.33,,,392,786,1062,0,,
0,0.31,,,410,786,1044,0,,
0,0.3,,,428,786,1026,0,,
0,0.45,,100,476,595,1299.48,0,0,
0,0.39,,100,372.5,492.58,1454.1,0,0,3.2
0,0.38,,,416,1070,775,0,0,4.11
0,0.44,,,385,1070,775,0,0,3.94
0,0.5,,,360,1070,775,0,0,
0,0.56,,,335,1070,775,0,0,3.1
0,0.62,,,314,1070,775,0,0,2.85
0,0.68,,,295,1070,775,0,0,2.68
0,0.5,,,360,1070,775,0,0,3.54
0,0.3,,100,550,490,1200,,,
0,0.33,,100,500,510,1240,,,
0,0.36,,100,450,530,1280,,,
0,0.44,,100,350,560,1345,,,
1.5,0.5,,,295.5,450,900,,,
2.5,0.4,,,487.5,780,820,,,
2.5,0.4,,,438.75,796.5,846,,,
2.5,0.4,,,390,828,868,,,
2.5,0.4,,,341.25,847,900,,,
2.5,0.5,,,292.5,450,900,,,
2.5,0.45,,,384.15,734.46,1146.35,2.1875,,3.3
2.5,0.4,,,565.5,559,830,,,3.7
2.5,0.45,,,384.15,734.46,1146.35,,,3.39
5,0.36,,,275,249,759,,,4.05
5,0.35,,,275,234,708,,,4.6
5,0.4,,,475,780,820,,,
5,0.4,,,427.5,796.5,846,,,
5,0.4,,,380,828,868,,,
5,0.4,,,332.5,847,900,,,
5,0.4,,,370.5,713,1079,,,3.34
5,0.45,,,289.5,620,1200,4.357,0.056,2.72
5,0.53,,,380,600,1200,4.6475,0.0265,
5,0.38,,,475,745,945,4.4935,0.0245,
5,0.36,,,361,868,995,4.4935,0.0245,
5,0.36,,,380,863,974,4.4935,0.0245,
5,,,,,,,4.55,0.099,
5,0.5,,,370.5,569,1164,4.52,,
5,0.5,,,285,450,900,,,
5,0.35,,,570,477,1113,3.762,0.121,6.64
5,0.55,,,330.94,572.74,1189.5,3.992,0.0275,2.38
5,0.65,,,325.71,685.71,1371.42,4.7705,,2.51
5,0.5,,,380,800,1600,,,3.44
5,0.4,,100,370.5,713,1079,,,3.34
5,0.53,,,353.15,868.93,995.71,4.036,0.069,4.15
5,0.3,,100,506.67,945.68,674.02,,,3.68
5,0.35,,100,434.28,983.15,700.73,,,2.97
5,0.4,,100,380,1011.26,720.76,,,2.83
5,0.5,,,397,906,1155,,,
5,0.45,,,374.3,734.46,1146.35,4.375,,3.11
5,0.45,,,377.7825,698.6754,745.1945,4.349,0.07,
5,0.35,,,434.15,695,1158,,,
5,0.3,,,491.3,550,1302,,,
5,0.25,,,524.4,539,1325,,,
5,0.5,,,380,588,1240,4.316,0.1255,
5,0.4,,,380,1164,916,4.375,,2.74
5,0.5,,100,380,400,800,4.39,0.035,
5,0.4,,,551.7,559,830,,,4
5,0.4,,,425,446,1489,,,4.097
5,0.45,,,425,446,1489,,,3.591
5,0.5,,,425,446,1489,,,3.476
5,0.55,,,425,446,1489,,,3.297
5,0.45,,,374.3,734.46,1146.35,,,3.3
5,0.342,,,475,925,830,3.72,0.195,5.79
5,0.3,,,712.5,590,1000,4.35,0.125,15.73
5,0.45,,,451.25,607.25,1127.75,,,
5,0.56,,,418,580,1115,3.822,0.1765,3.04
5,0.39,,100,353.875,492.58,1454.1,4.347,0.125,2.85
5,0.5,,,342,1070,775,4.4035,0.052,3.71
7,0.45,,92,390.6,815,995,6.2727,0.0637,4.13
7,0.45,,,390.6,815,995,,,4.13
7,0.5,,,325.5,960.3,795.7,6.2727,0.0637,
7.5,0.4,,,462.5,780,820,,,
7.5,0.4,,,416.25,796.5,846,,,
7.5,0.4,,,370,828,868,,,
7.5,0.4,,,323.75,847,900,,,
7.5,0.5,,,277.5,450,900,,,
7.5,0.65,,,317.14,685.71,1371.42,7.15575,,2.46
7.5,0.45,,,364.45,734.46,1146.35,6.5625,,2.83
7.5,0.5,,100,370,400,800,6.585,0.0525,
